,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Cluster Label,Rating,Tips Count
123,Central Harlem,40.81597606742414,-73.94321112603905,Jerkyz,40.81817689825104,-73.94148093717857,Caribbean Restaurant,5645609b498e47952f22cd7d,-1,7.3,1
124,Central Harlem,40.81597606742414,-73.94321112603905,LightHouse Fish Market & Restaurant,40.8142671706303,-73.94815310035384,Seafood Restaurant,53b86577498e69be2ef130c7,-1,8.0,8
125,Central Harlem,40.81597606742414,-73.94321112603905,Crispy Bamboo Village,40.81627823973171,-73.94693839905996,Chinese Restaurant,4bf348fce5eba593c8711e90,-1,7.4,2
126,Central Harlem,40.81597606742414,-73.94321112603905,Africa Kine Restaurant,40.8137280306601,-73.94442558288574,African Restaurant,4a9ea132f964a520ad3a20e3,-1,7.1,33
127,Central Harlem,40.81597606742414,-73.94321112603905,House Of Seafood,40.81192091273784,-73.9425440011307,Seafood Restaurant,4e4cd087bd413c4cc66c6000,-1,7.7,2
128,Central Harlem,40.81597606742414,-73.94321112603905,Londel's Restaurant,40.81939003271195,-73.94443958054147,Southern / Soul Food Restaurant,4ad22304f964a5209bdf20e3,-1,7.1,17
129,Central Harlem,40.81597606742414,-73.94321112603905,Tio Luca Cocina Bistro Latino,40.811648891729824,-73.94283228075125,Tapas Restaurant,51b3f56c7dd23d8b83b48211,-1,7.2,20
130,Central Harlem,40.81597606742414,-73.94321112603905,Empire Chinese Restaurant,40.81916,-73.940414,Chinese Restaurant,4d4c38fb64faba7a9975f28a,-1,,1
131,East Harlem,40.79224946663033,-73.94418223148524,Malii,40.789524977200365,-73.94323226322045,Thai Restaurant,55a85a66498e68da40bc7212,-1,8.7,9
132,East Harlem,40.79224946663033,-73.94418223148524,El Chevere Cuchifritos,40.79399379623322,-73.9429713835459,Latin American Restaurant,4eebcde88b81bbbf5b3b9e19,-1,8.0,2
133,East Harlem,40.79224946663033,-73.94418223148524,Cascolate Latin Bistro,40.79278747455707,-73.94082990399929,Mexican Restaurant,5221402b11d2f5e7ec7c37e8,-1,8.4,27
134,East Harlem,40.79224946663033,-73.94418223148524,Alison,40.790971,-73.947016,New American Restaurant,5d82a7e2a3d6860007edb9fa,-1,8.1,7
135,East Harlem,40.79224946663033,-73.94418223148524,Amor Cubano,40.794829490147166,-73.94253551564837,Cuban Restaurant,4a6908c3f964a5207ecb1fe3,-1,8.3,93
136,East Harlem,40.79224946663033,-73.94418223148524,Bangklyn East Harlem,40.790287,-73.943054,Thai Restaurant,5a68fb506336be407ef635ab,-1,7.8,2
137,East Harlem,40.79224946663033,-73.94418223148524,Mountain Bird,40.793851,-73.939942,French Restaurant,553c1b00498e7eb81316bf1b,-1,8.8,18
138,East Harlem,40.79224946663033,-73.94418223148524,El Aguila,40.790464021675085,-73.94760191291729,Mexican Restaurant,4ed825e98231efe38cad7306,-1,8.3,33
139,East Harlem,40.79224946663033,-73.94418223148524,Cafe Ollin,40.79106649607545,-73.93959460113427,Mexican Restaurant,4b4b5e8cf964a520039926e3,-1,8.4,44
140,East Harlem,40.79224946663033,-73.94418223148524,Lechonera El Barrio,40.78986835379094,-73.94652720757209,Latin American Restaurant,4b1eb2b7f964a520041e24e3,-1,7.8,6
141,East Harlem,40.79224946663033,-73.94418223148524,Lupita's Restaurant,40.79015889022545,-73.94292951878377,Mexican Restaurant,53892262498ef00115e1cb9d,-1,7.4,13
142,East Harlem,40.79224946663033,-73.94418223148524,Brisas Del Mar,40.79517112580391,-73.94424891591386,Seafood Restaurant,4cb6084bb315a09336f89876,-1,7.5,4
143,East Harlem,40.79224946663033,-73.94418223148524,Absolute Thai Restaurant,40.78920165381754,-73.94844039571389,Thai Restaurant,5303fc3c11d250deaaf46b56,-1,8.0,4
144,East Harlem,40.79224946663033,-73.94418223148524,Ranch Market,40.7943854763887,-73.9490098419699,Restaurant,4e4418ef1838e44e89884745,-1,7.8,8
145,Upper East Side,40.775638573301805,-73.96050763135,Sant Ambroeus,40.77532770471081,-73.96281878358091,Italian Restaurant,4a22d7f9f964a520977d1fe3,-1,8.8,88
146,Upper East Side,40.775638573301805,-73.96050763135,The Mark Restaurant by Jean-Georges,40.77521873043948,-73.96338138800205,American Restaurant,4b7f36b5f964a520a31f30e3,-1,8.5,53
147,Upper East Side,40.775638573301805,-73.96050763135,Kappo Masa,40.77452684529511,-73.96346606906828,Japanese Restaurant,542efa85498ea11026c9746c,-1,8.7,15
148,Upper East Side,40.775638573301805,-73.96050763135,Sistina,40.777597,-73.961685,Italian Restaurant,57d9ddfe498e8a66d21ce8bb,-1,8.2,7
149,Upper East Side,40.775638573301805,-73.96050763135,Tamam,40.773817,-73.959592,Falafel Restaurant,5eea4d2205bfe70007fa67ac,-1,8.0,2
150,Upper East Side,40.775638573301805,-73.96050763135,Sushi Noz,40.773786,-73.958118,Sushi Restaurant,5a8c6e6fb6b04b2d4e648ccb,-1,8.4,7
151,Upper East Side,40.775638573301805,-73.96050763135,Flex Mussels,40.776336676544645,-73.95643047622309,Seafood Restaurant,4a593996f964a5200ab91fe3,-1,9.2,180
152,Upper East Side,40.775638573301805,-73.96050763135,Toloache 82,40.77656629708003,-73.95664177765191,Mexican Restaurant,4e972a527bebee95ad73a290,-1,8.7,90
153,Upper East Side,40.775638573301805,-73.96050763135,Antonucci,40.77571064654,-73.95660701282836,Italian Restaurant,4b3bedfaf964a5209e7e25e3,-1,8.5,13
154,Upper East Side,40.775638573301805,-73.96050763135,Dulce Vida Latin Bistro,40.77716842019965,-73.95729271279279,Latin American Restaurant,4d3b411f34ee37044203819b,-1,8.3,69
155,Upper East Side,40.775638573301805,-73.96050763135,Eli's Table,40.77504334998626,-73.95680803408706,American Restaurant,548485f6498eee3c9eaa5dbf,-1,8.0,8
