,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID
132,Washington Heights,40.85190252555305,-73.93690027985234,Qmart,40.85199915943576,-73.93491489398065,Market,561c5c88498ee62a4dc1bc3c
133,Washington Heights,40.85190252555305,-73.93690027985234,181st St Bakery & Deli,40.85101361568652,-73.93859158137181,Bakery,4a5b2d43f964a520eaba1fe3
134,Washington Heights,40.85190252555305,-73.93690027985234,Cabrini Wines,40.85129218870419,-73.93971626183753,Wine Shop,4a626b90f964a52008c41fe3
135,Washington Heights,40.85190252555305,-73.93690027985234,Café Bark,40.851353,-73.939896,Pet Café,5bafc50b9f8a9f0039c49dd3
136,Washington Heights,40.85190252555305,-73.93690027985234,Tampopo Ramen,40.85069287922829,-73.93656823814172,Ramen Restaurant,55d65695498ed8dc09c5b010
137,Washington Heights,40.85190252555305,-73.93690027985234,Bennett Park,40.85296731395129,-73.93787361453009,Park,4a5924a7f964a520ccb81fe3
138,Washington Heights,40.85190252555305,-73.93690027985234,Vines on Pine,40.8552777479788,-73.93767127156606,Wine Shop,4b9ae9c5f964a52071e235e3
139,Washington Heights,40.85190252555305,-73.93690027985234,Altus Cafe,40.85228382654352,-73.93469335780611,Café,4baf9671f964a5208d0d3ce3
140,Washington Heights,40.85190252555305,-73.93690027985234,The Pandering Pig,40.855226197706585,-73.93779261979789,American Restaurant,56e213e1498e8b403c8bb16a
141,Washington Heights,40.85190252555305,-73.93690027985234,Fresco's Pizzeria,40.85520157236451,-73.93721648678681,Pizza Place,5503762d498e150bef780584
142,Washington Heights,40.85190252555305,-73.93690027985234,Highbridge Park Pool,40.849110201463084,-73.93683928010928,Pool,4bf22c1499d02d7f2efac948
143,Washington Heights,40.85190252555305,-73.93690027985234,181 Cabrini,40.851251236650356,-73.94034289599841,New American Restaurant,49f925bdf964a520656d1fe3
144,Washington Heights,40.85190252555305,-73.93690027985234,Las Tapas,40.85523384393846,-73.93728400575858,Tapas Restaurant,54405a3e498e5d4a84ee266c
145,Washington Heights,40.85190252555305,-73.93690027985234,Hudson View Restaurant,40.850888432086236,-73.93823069541277,Breakfast Spot,4a1a4dcbf964a520927a1fe3
146,Washington Heights,40.85190252555305,-73.93690027985234,Chittenden Overlook,40.85502970536667,-73.93936157226562,Scenic Lookout,4ba2ec2df964a520cc2238e3
147,Washington Heights,40.85190252555305,-73.93690027985234,181 Gourmet Deli,40.851095815370044,-73.93892661241044,Deli / Bodega,527dd322498e4b070fa0f484
148,Washington Heights,40.85190252555305,-73.93690027985234,Yo Sweets,40.85083131851628,-73.9378569165125,Frozen Yogurt Shop,53caaede498e6db96d6a204f
149,Washington Heights,40.85190252555305,-73.93690027985234,Buunni Coffee,40.85519403267616,-73.9377173781395,Café,4fe30498e4b08d2f0d752131
150,Washington Heights,40.85190252555305,-73.93690027985234,La Casa del Mofongo,40.85026656753515,-73.93314532362541,Caribbean Restaurant,4afcba6af964a5206d2522e3
151,Washington Heights,40.85190252555305,-73.93690027985234,La Cabana Salvadorena,40.85433401375745,-73.9336768506694,Latin American Restaurant,4c16d2ec5e88c928c5ca2466
152,Washington Heights,40.85190252555305,-73.93690027985234,Terravita,40.848059,-73.937645,New American Restaurant,5b57bb361acf11002c14ba96
153,Washington Heights,40.85190252555305,-73.93690027985234,Starbucks,40.85096145,-73.93833015,Coffee Shop,4aafdf93f964a520f66420e3
154,Washington Heights,40.85190252555305,-73.93690027985234,Kismat Indian Restaurant,40.855221723964846,-73.93696683600031,Indian Restaurant,4ae7876ef964a5201eac21e3
155,Washington Heights,40.85190252555305,-73.93690027985234,Poción,40.847628782562246,-73.93837984011846,Lounge,57747010cd100bd4dbd9161e
156,Washington Heights,40.85190252555305,-73.93690027985234,Bennett Wines & Liquor,40.85045575462591,-73.93676854425944,Liquor Store,4e07c4c92271dfa46bb191ac
157,Washington Heights,40.85190252555305,-73.93690027985234,Monkey Room,40.854976932654424,-73.93704592998373,Bar,419d3780f964a5202c1e1fe3
158,Washington Heights,40.85190252555305,-73.93690027985234,The Vitamin Shoppe,40.8501171,-73.9351315,Supplement Shop,4bdb02513904a593cf40489e
159,Washington Heights,40.85190252555305,-73.93690027985234,Fort Washington Bakery & Deli,40.85104558248512,-73.93864460474616,Bakery,4b5882bef964a520595b28e3
160,Washington Heights,40.85190252555305,-73.93690027985234,Frank's Market,40.85533405166097,-73.93716221785515,Grocery Store,4a61fbe8f964a520c5c21fe3
